C_CUSTKEY,C_ACCTBAL,C_NAME,C_MKTSEGMENT,C_PHONE,C_NATIONKEY,C_ADDRESS,C_COMMENT 
334,-405.91,Customer#000000334,BUILDING,14-947-291-5002,4,OPN1N7t4aQ23TnCpc,packages boost blithely carefully final depend
335,6837.46,Customer#000000335,HOUSEHOLD,31-772-165-3138,21,d2JCYLr2F9tC1AZMIvbIYPDQA,furiously pending requests among the fluffily express deposits cajole carefully according to the regular ideas.
336,9241.49,Customer#000000336,AUTOMOBILE,12-345-190-9898,2,yC zy1i6AGrnykrV McJyjg,"regular, ironic deposits boost carefully regular platelets. ironic ideas wake blithely even deposits. fluffily"
337,-270.59,Customer#000000337,MACHINERY,10-337-165-1106,0,EluRTlO4pE7u0XSKKyvKvVyt4sADWFRLZuiyn,regular packages sleep alongside of the furiously regular realms. finally unusual
338,4092.49,Customer#000000338,FURNITURE,33-302-620-7535,23,aiYAeWgI0okGSJv7OgvKqMvPLhxF3blT8josX,carefully final excuses are sometimes regular instructions.
339,8438.07,Customer#000000339,HOUSEHOLD,34-992-529-2023,24,jUs1Im28boIduGhp5vbKK50gM5ov7xH9G,furiously ironic deposits affix blithely alongside of the
340,4667.12,Customer#000000340,BUILDING,12-730-681-4571,2,WRnPrKQmAmoMQgHQERoVOhyTklcHMajJlc,"ironic, unusual dependencies dazzl"
341,8247.11,Customer#000000341,FURNITURE,19-870-813-8585,9,"4,zQfld2YV9TSeNgCSOvqlxhJvVW8WD","blithely regular accounts nag furiously around the bold, bold asymptotes. bo"
342,7186.74,Customer#000000342,AUTOMOBILE,28-690-119-9571,18,SpDDdUfraEAfCULAuGLE,blithely even packages boost furiously. carefully special packages shall sleep blithely. carefully ir
343,5521.36,Customer#000000343,HOUSEHOLD,13-877-910-5134,3,ejvvSNHIkJVm8I1zpQINNn5yyJbA,blithely bold accounts boost furiously a
344,-544.95,Customer#000000344,FURNITURE,12-810-788-6699,2,"Zasc8,E0VVY",dependencies haggle until the requests. bold accounts wake quickly bold deposits. slyly ironic excuses alongs
345,1936.77,Customer#000000345,AUTOMOBILE,19-209-576-4513,9,"dGFK ICPKxnsAzlX4UYOUf,n200yyEWhIeG",busy requests integrate furiously abo
346,238.14,Customer#000000346,FURNITURE,12-100-890-4659,2,"K61SvIue3Emcwfel,7f9tO5WyJ58MbT7k3iS","slyly final pinto beans are even, silent foxes. quickly pending platelets wake deposits. idly e"
347,7348.92,Customer#000000347,BUILDING,11-519-832-9913,1,qRT7WRrnykLDfTc5Ei,asymptotes wake around the slyly ironic courts. slyly quiet
348,3310.49,Customer#000000348,HOUSEHOLD,23-986-141-5327,13,ciP7BWkhOe1IbbVGlqJePBI6ZwqENkS,"express, pending deposits wake. regular requests sleep always. regular instructions boost ironic, even deposits. fin"
349,-565.35,Customer#000000349,BUILDING,33-818-229-3473,23,"vjJBjxjW9uoRZP02nS p6XY5wU6Ic,6xHpxUKA","slyly final accounts among the blithely final tithes haggle furiously along the express,"
350,19.31,Customer#000000350,BUILDING,25-960-809-3690,15,G vBMGVmIOHl7tc4HeNMiMkKY,carefully regular foxes boost slyly about the slyly regular foxes. b
351,3419.54,Customer#000000351,AUTOMOBILE,17-873-420-4342,7,De35Hx1QiyS0uy,regular instructions haggle slyly around the bold excuses. fluffily regular realms
352,6257.88,Customer#000000352,HOUSEHOLD,19-906-158-8420,9,HqhIE5GRTK0dFtWpJUQENU4aa1bwdsUBEWtzUw,carefully ironic sheaves wake. bl
353,3199.03,Customer#000000353,BUILDING,20-733-644-2244,10,eftGCmL4b5rAKdvUe9biJXzAH,"carefully express accounts sleep slyly blithely special requests. silent, ironic fre"
354,7095.95,Customer#000000354,BUILDING,12-545-101-2447,2,sV3WgvJA06WngO4,stealthily ironic epitaphs cajole daringly quickly regular accounts; accounts
355,8727.90,Customer#000000355,FURNITURE,24-656-787-6091,14,205r3Xg9ZWjPZNX1z,accounts affix furiously. carefully careful Tiresias sleep
356,2934.06,Customer#000000356,FURNITURE,20-415-457-4421,10,9RfNXUJivKTonL2bp1eG5IT,"silent, regular platelets are. foxes haggle fluffily. carefully regular excuses are. bold, regular s"
357,8747.36,Customer#000000357,AUTOMOBILE,28-452-965-8560,18,l2C0Xkdib4t4 qKFUcRDOhRQMK7U0,carefully final requests haggle alongside of the closely ironic
358,-44.66,Customer#000000358,MACHINERY,15-457-255-3822,5,F  z jplpUKWz1Hn7p3ez2qTsiIh,"special, bold tithes boost across the fluffily regular for"
359,6375.23,Customer#000000359,FURNITURE,24-608-547-4751,14,z4lUH9ssc3K2w0UjRIuNRrdqw,quickly even dependencies are against the furiously even packages. carefully final patterns are blith
360,6542.83,Customer#000000360,FURNITURE,27-604-646-1645,17,"S,6ajyDFO3WUQ0Qr",unusual pinto beans upon the special requests hag
361,7451.84,Customer#000000361,BUILDING,30-164-267-4590,20,l0F8jMJVe63cb,slyly express theodolites sleep along the carefully express attainments. final platelets from the
362,6149.01,Customer#000000362,AUTOMOBILE,27-651-653-4122,17,UscV00TNrNTDddxF7BTk,slyly express dependencies haggle according to the ironically special theodolites. slyly r
363,-573.86,Customer#000000363,HOUSEHOLD,27-460-529-3937,17,2Koh mYARhsVcFn0U2Abt35qIyedAr1TxP,blithely close deposits are. quickly even dolphins hang final requests. even accounts sleep carefully
364,32.24,Customer#000000364,HOUSEHOLD,33-492-647-4972,23,"SQ3b5Q5OtrmmZjJ87tq,o1TiXKVJQ0M7ZOuud",quickly quiet packages according to the fluffily ironic deposits cajo
365,737.03,Customer#000000365,HOUSEHOLD,34-708-696-5226,24,QiZRz y1xU,carefully silent foxes cajole carefully. furiously p
366,-729.74,Customer#000000366,MACHINERY,13-915-531-6826,3,pPQektSfn55AC7s9SRFkj07I2yXqakvCa,"regular, final ideas are regularly. carefully even platelets haggle slyly express deposits. ironic pinto beans wake"
367,9108.65,Customer#000000367,HOUSEHOLD,23-939-319-4691,13,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,carefully unusual excuses wake slyly. blithely
368,84.72,Customer#000000368,MACHINERY,32-552-596-4994,22,9p ReFA4fseKWYUaUHi,deposits along the ruthlessly express accounts detect
369,2881.06,Customer#000000369,FURNITURE,18-333-644-9832,8,"ge1XhgI3ADIkvLr5GPMqpup,hzlTVv","ironic deposits detect quickly express deposits. furiously regular requests nag. bold, bo"
370,8982.79,Customer#000000370,FURNITURE,22-524-280-8721,12,oyAPndV IN,grouches are blithely unusual requests. furiously final foxes haggle furiously. slyly express pin
371,7789.14,Customer#000000371,AUTOMOBILE,32-119-346-2028,22,dnxjCYwhuSHx 9KX38nV0R16fG,furiously regular accounts haggle fluffily across the carefully pending deposits. ideas doze carefully
372,-921.91,Customer#000000372,MACHINERY,29-226-339-6392,19,aKPMNZfbgV0neVIBo,bold instructions use slowly against the pinto beans. special theodolites wake enticingly packages.
373,2354.06,Customer#000000373,MACHINERY,30-883-170-4010,20,"2hrQ wHkbaNlJCzY,mVkugMIE 8ryNlaA3JHDTjJ",special requests around the ironically stealthy accounts boost quickly above the quick
374,6718.78,Customer#000000374,AUTOMOBILE,32-282-723-3627,22,"fg4eklU1,UaFOan","quickly silent dependencies use about the regular ideas. special, ironic instructions among th"
375,5562.22,Customer#000000375,HOUSEHOLD,25-575-273-9756,15,e53JADEeGvM1ikhN7aa,fluffily ironic notornis after the carefully express ideas
376,4231.45,Customer#000000376,AUTOMOBILE,26-437-952-8986,16,4NwsvFQU T4mSgzvU1Rx2ZtHOGyaNyhe,pending somas haggle fluffily among the carefully final instructions! packages according to the slyly express pack
377,1043.72,Customer#000000377,MACHINERY,33-260-610-4079,23,"PA4levhyD,Rvr0JHQ4QNOqJ9gW YXE",blithe packages nag quickly. regular requests cajole quickly blithely even foxes. specia
378,5718.05,Customer#000000378,BUILDING,32-147-793-4825,22,"133stqM9 LT,a2BSlbm49 nXreFggaZgW6P6J",final multipliers haggle slyly-- blithely even platelets boost carefully fluffi
379,5348.11,Customer#000000379,AUTOMOBILE,17-228-550-9246,7,"t3QzCf,q1NbshmjOIUY",quickly even deposits breach carefully fluffily express packages. de
380,2755.46,Customer#000000380,BUILDING,31-538-493-4229,21,n2w3Jd1bipwICbOVgrELzcNRexmWSklo,"carefully regular packages cajole furiously after the special, u"
381,9931.71,Customer#000000381,BUILDING,15-860-208-7093,5,w3zVseYDbjBbzLld,carefully unusual foxes integrate quickly. expr
382,6269.42,Customer#000000382,AUTOMOBILE,18-942-650-6657,8,"UdgAMamK5JnSykA,ZPfR5W5zRFatDUye",furiously silent requests thrash. blithely ironic deposits sleep furiously. theodolites ought to los
383,-849.44,Customer#000000383,MACHINERY,12-868-920-9034,2,iBIHYgXvVDpu6qq7FlqXVcAIDAzv4qs,ironic escapades at the blithely pending th
384,-614.30,Customer#000000384,HOUSEHOLD,19-271-453-8361,9,kDDMb3ML nUSu2Sn7CUHyZVedAFUx9,regular theodolites integrate fluffily! regular notornis boost carefully. carefully
385,2457.09,Customer#000000385,AUTOMOBILE,13-741-675-6890,3,zJvPI24TSPpiFzYfu3RvTKQ9,blithely express pinto beans along the carefully ironic somas kindle fluffily final deposits. blithely express ideas
386,232.01,Customer#000000386,BUILDING,34-193-143-1425,24,DeQxsCxixT8RQ7JV6mddRYGDGQ2WM94,carefully express decoys are carefully against the furiously eve
387,3404.23,Customer#000000387,HOUSEHOLD,28-694-363-3673,18,Yj 9g1mNu00rKRkc1ovOmptsPI,permanently final frets play carefully. furi
388,1938.05,Customer#000000388,HOUSEHOLD,17-856-814-6352,7,dV4lqEufXkF8R,quickly ironic excuses haggle. always express packages nod final foxes-
389,-307.61,Customer#000000389,AUTOMOBILE,19-264-943-1253,9,"ij8KNM0,HRvIvnvY w8jQK4zvr1EOO9YM",blithely ironic accounts nod slyly final theodolites. blithely pending depo
390,8862.18,Customer#000000390,HOUSEHOLD,14-812-253-6693,4,"Nsc3VZZnVsw0mLAnqqzVz,",furiously even excuses sleep c
391,4801.30,Customer#000000391,HOUSEHOLD,21-604-451-4462,11,q10SV05KB1038lzUR8P,pending asymptotes x-ray carefully among the blithely even theodolites.
392,8492.33,Customer#000000392,BUILDING,27-601-793-2507,17,H7M6JObndO,regular deposits cajole furiously slowly bold requests. accounts boost. dependencies sleep carefully. slyly unusua
393,3593.57,Customer#000000393,FURNITURE,30-749-949-5915,20,RSELskV44I3LFA9VLGY2Qe,carefully silent instructions shall have to are s
394,5200.96,Customer#000000394,MACHINERY,33-422-600-6936,23,"nxW1jt,MQvImdr z72gAt1bslnfEipCh,bKZN","ironic, ironic pinto beans according to the blithely special de"
395,4582.28,Customer#000000395,HOUSEHOLD,25-804-388-6600,15,b06rg6Cl5W,bold braids wake furiously silent deposits. quickly regular pinto bea
396,1433.50,Customer#000000396,BUILDING,32-902-936-4845,22,miE7JrCdGpQkF4zYJ27tBdSu IYhQ HXx0,"ironic, special requests except the slyly ironic requests cajole furiously amo"
397,709.46,Customer#000000397,FURNITURE,17-103-357-8777,7,EzR2BKJ85SmBDS,express accounts nag blithely pending requests. carefully pending pinto beans boost final d
398,8865.61,Customer#000000398,HOUSEHOLD,25-110-215-3747,15,cq9NmtIT4b6JB8L79iLzljlHs4 3,"special, regular deposits breach blithely ironic t"
399,7358.53,Customer#000000399,BUILDING,18-882-664-5454,8,ZBvzMa6N1wdCGaPmG13xVusIxdjSiA94jTXN,instructions unwind carefully ironic excuses. carefully unusual requests detect slyly quickly even packages. silent
400,-98.46,Customer#000000400,BUILDING,24-522-746-1247,14,U23zy17EPxqmJn7neVc,fluffily pending instructions shall hinder according to the fluffy
401,4146.43,Customer#000000401,BUILDING,29-667-766-5291,19,"aKALIG526OK4veQfUh2KmKcE,oRyg",quickly ironic packages nag enticingly bold deposits. pending depend
402,2106.67,Customer#000000402,AUTOMOBILE,16-950-729-1638,6,"8Cw4p1m1gKYVUgomkAq,es1ZtrnmHaO","slyly unusual tithes use around the unusual, regular warhorses. blithely even deposits unwind fu"
403,6693.36,Customer#000000403,HOUSEHOLD,24-753-433-1769,14,"9,BVYegfkFLsEMDkeVW","blithely regular excuses cajole slyly. even, regular requests eat against the carefully final a"
404,7408.73,Customer#000000404,BUILDING,32-840-785-1776,22,2orgvLJ05jOvM292mhkS7iJmHG0jk,blithely regular deposits wake blithely across
405,7519.14,Customer#000000405,MACHINERY,20-509-301-7901,10,mCQNH1rJtqjjQ9Piauc2bZr4pRFydscZtbD9d,ironic accounts sleep furiously among the platelets. special dependencies are furiously above
406,4286.94,Customer#000000406,FURNITURE,19-426-693-4043,9,j1fOG9WsIr2JI6Yi9jgJ M,"quickly silent ideas wake regular excuses; regular, regular requests cajole blithely. furiously final"
407,9537.08,Customer#000000407,MACHINERY,11-975-454-8499,1,cfCP9bE3HnI,slyly final dependencies along the blithely ironic pinto beans sleep quickly pending platelets. foxes nod f
408,6825.37,Customer#000000408,BUILDING,20-177-807-5661,10,"TBjb3m,3aea4JtP833HD4VDk7STz2Y9FB","even, even dugouts wake blithely across the regular, final dependencies. regular theodolites haggle carefully. ca"
409,3969.86,Customer#000000409,FURNITURE,21-466-412-4731,11,mtrMiDvQxNsy1Cj0cU4ITEW5wGKLPQ2IPHNE9r4,slyly final requests nag. quickly unusual requests nag slyly. slyly final t
410,4349.27,Customer#000000410,BUILDING,17-576-345-5940,7,"nYak2u Q9,gYUiLfh1N",pending requests in place of the furiously regular deposits
411,1209.32,Customer#000000411,HOUSEHOLD,28-483-924-1955,18,"V3e,FX5x50scsQDzt5,ESxfOQBt4OzjHRoTZxF","accounts snooze blithely final, special ideas. even requests haggle regular accounts. quickly regular"
412,6044.02,Customer#000000412,BUILDING,32-940-318-3191,22,"5IN2Y,QrhDJ2YBVGKiDbMpzi2hk1fmozIy2zQ","accounts use according to the blithely even requests. bold, final d"
413,5817.90,Customer#000000413,FURNITURE,16-158-285-7336,6,",4Jm5N0ruhJCB7cBR6Kw","regular, unusual ideas haggle slyly across the silently regular instructions. unusual deposits sleep acros"
414,527.78,Customer#000000414,AUTOMOBILE,29-552-380-2475,19,i49DWI61AFb 45vb1RMH,slyly bold instructions wake caref
415,2317.93,Customer#000000415,FURNITURE,33-346-876-2972,23,"334jCRiUb,gx3",furiously ironic realms above the ideas integrate furiously after the furiously final instructions. rut
416,4365.28,Customer#000000416,MACHINERY,22-651-146-4780,12,fm7H7k6sYhKfXttOT,furiously ruthless foxes impress. blithely unusual ideas by the furiously f
417,6187.73,Customer#000000417,BUILDING,21-794-364-5100,11,X3LMSpIn4FgjgJxldHVUlUvKzyX,"blithely pending packages boost pending ideas. bold, ironic foxes affix slyly"
418,1211.39,Customer#000000418,FURNITURE,15-826-508-1218,5,",e0q82drO rgVHXHrJRQ0GDrRoUOl",carefully unusual theodolites ha
419,7786.69,Customer#000000419,BUILDING,26-338-447-2399,16,gvbZNJ4UVBAo5yOZ2UOWcvV9TeTj,"special, express excuses dazzle furiously final dependencies. regular platelets wake"
420,1999.35,Customer#000000420,BUILDING,30-776-366-5869,20,HV0YB82MWw93 9K,unusual dependencies sleep. ironic accounts are slyly. accounts haggle caref
421,7073.17,Customer#000000421,FURNITURE,23-918-228-2560,13,it3mUlkZAe9J8gmy,carefully ironic excuses sleep quickly. dogged packages sleep carefully. regularly bold deposits nag. excuses a
422,-272.14,Customer#000000422,HOUSEHOLD,19-299-247-2444,9,AyNzZBvmIDo42JtjP9xzaK3pnvkh Qc0o08ssnvq,"furiously ironic asymptotes are slyly ironic, ironic requests. bold,"
423,95.79,Customer#000000423,BUILDING,23-201-501-7824,13,Y2B EbOg39GpFLS0n,"fluffy, final ideas about the ironic deposits boost ab"
424,1866.42,Customer#000000424,HOUSEHOLD,29-891-311-6778,19,"i4cf3kmRE9IJr,cu,1",slyly pending theodolites must
425,5824.88,Customer#000000425,HOUSEHOLD,26-756-407-4828,16,lp3aCRBK11qFY,"express, even multipliers are blithely. slyly s"
426,7818.25,Customer#000000426,HOUSEHOLD,29-768-330-6311,19,GjFjM4zjbyhNrV6XlE,"special, even requests nag stealthily about the final packages. ironic, regular accounts hag"
427,4376.80,Customer#000000427,MACHINERY,12-124-309-3821,2,LHzXa71U2AGqfbqj1yYYqw2MEXq99dWmY,"ironic asymptotes cajole regular, ironi"
428,1952.36,Customer#000000428,BUILDING,31-587-557-8211,21,"TCVjlzbX7x,kWcHN33LRdEjO38mAGmPR","accounts use silent, special accounts. fluffily p"
429,9247.21,Customer#000000429,FURNITURE,25-989-936-1954,15,"kZBtY,LQAFu4iaSagjfIk8Q8dzgmT",sheaves against the dependencies are even
430,7905.17,Customer#000000430,BUILDING,13-406-611-4228,3,"s2yfPEGGOqHfgkVSs5Rs6 qh,SuVmR",final excuses wake. furiously even excuses nag blithely accounts. bl
431,2273.50,Customer#000000431,HOUSEHOLD,16-326-904-6643,6,RNfSXbUJkgUlBBPn,furiously regular packages alongside of the bold platelets boost slyly slyl
432,5715.64,Customer#000000432,BUILDING,33-307-912-9016,23,FDConiq g20GI9dH QTM ZNX4OB9KU,"express, final dolphins wake regular deposits. e"
433,8746.23,Customer#000000433,FURNITURE,30-659-445-3595,20,7XFuE4 euQR0w,fluffily pending Tiresias wake blithely above the regular packages. u
434,2940.46,Customer#000000434,MACHINERY,13-325-443-1474,3,6LGAf2hv4MB5MJhfvNsg,slyly bold deposits use slyly
435,6217.46,Customer#000000435,MACHINERY,12-741-309-6377,2,diwjNQSb3wLYLy WfCDATo5rc1I3 s,"unusual platelets use quickly along the ironic, dogged deposits"
436,5896.87,Customer#000000436,FURNITURE,29-927-687-6390,19,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,quickly final accounts unwind quickly. carefully pending deposits haggle t
437,7760.52,Customer#000000437,AUTOMOBILE,14-364-492-8498,4,0PM1xuHd0q2ElcJp 77F2MykOVBSQnZR8u3jkn,carefully careful deposits use aga
438,2131.13,Customer#000000438,MACHINERY,33-394-388-4375,23,"eqo9A9oaE2CA7 7,L",furiously express packages along the foxes doubt blithely final instructions. ironical
439,-61.29,Customer#000000439,BUILDING,24-873-368-6801,14,3deBblz2syRv8yMf0yAVKkE4mDH20uDRj4tJVHUm,"even, special excuses after t"
440,1809.04,Customer#000000440,MACHINERY,13-244-480-5751,3,"w4fKMgiBuGmV,nLn7NgJl1DoUWwNQMV8z  5,R",fluffily final requests boost according to the quiet deposits. carefully fina
441,9451.84,Customer#000000441,HOUSEHOLD,33-438-355-3491,23,gjYpcBx6MP8GvDa6,slyly unusual accounts cajole sometimes. express accounts haggle furiously alongside of the silently final ins
442,4157.00,Customer#000000442,FURNITURE,11-240-523-8711,1,rvgayfJFLO2cjzMA,"furiously regular warhorses use ironic pinto beans. final, special theodolites wake carefully. requests sleep quickl"
443,3726.22,Customer#000000443,FURNITURE,13-241-131-1632,3,UdyNGZ6GSz5aNpMO5N2,carefully regular platelets are after the slyly
444,1505.27,Customer#000000444,HOUSEHOLD,11-402-300-1949,1,D8l4G8i9aZ7KRbqp6ajvR8h1wjr,"regular, daring ideas wake accordin"
445,8018.81,Customer#000000445,FURNITURE,30-849-846-6070,20,MX1UA0KUJzIGyWM p2hbLg5dCpVLws8KNcwEsP,ideas print furiously. requests cajole against the special pains. blithely ironic packages around the blithel
446,9225.60,Customer#000000446,FURNITURE,34-321-168-5681,24,"mJOJwYfch izLCuw70,qhlJSmH",slyly final deposits wake carefully ironic accounts. packages haggle about the pending asymptotes. blithely fi
447,7665.98,Customer#000000447,HOUSEHOLD,13-438-344-7007,3,hVZBzP8Pii,slyly dogged accounts grow along the slyly regular pint
448,8117.27,Customer#000000448,BUILDING,34-985-422-6009,24,BH4vtnDpabk0NgoGNJWu4OUXnidfJ,blithely silent pinto beans haggle around the boldly unusual instructions. regula
449,3001.94,Customer#000000449,MACHINERY,14-893-381-6454,4,DiUXazp8EYcJFsX2a7nciEpo9W5BRB4iqdb9HWL,furiously close sauternes according to the regular dugouts wake furiously regular asymptotes. ev
450,5544.42,Customer#000000450,HOUSEHOLD,19-782-397-9006,9,KVpuYa4dDW8lZZVBttyK614C2qdS,"carefully dogged packages wake. carefully even dependencies promise furiously. even, ir"
451,2110.59,Customer#000000451,HOUSEHOLD,30-939-275-3248,20,"ZJKTC1Ck,B01fYZ xdN2",packages nag around the pending accounts. deposits use. requests hag
452,6633.70,Customer#000000452,BUILDING,16-335-974-9174,6,",TI7FdTc gCXUMi09qD",slyly ironic instructions wake blithely accounts. furio
453,5678.18,Customer#000000453,HOUSEHOLD,18-209-381-8571,8,"PZ4mmWL7R,El0MtLWMfLXp120lo0,itmO",special pinto beans are blithely. regular dugouts cajole quietly.
454,6134.40,Customer#000000454,AUTOMOBILE,17-818-915-9400,7,d9oQCm3onNsFlIoteVjFcQDv,slyly unusual ideas above the even asymptotes wake according to the foxes. regular acco
455,6860.34,Customer#000000455,BUILDING,16-863-225-9454,6,"sssuscPJ,ZYQ8viO",special notornis doubt accounts; accounts nag above the sl
456,8815.78,Customer#000000456,FURNITURE,10-784-971-7777,0,IgUSuulguDJ5,quickly even theodolites across the blithely reg
457,5867.61,Customer#000000457,FURNITURE,30-543-684-2857,20,eaAWe Vqr0x17Uwj1uzQRb wQpXxZVDWS3Wg,"final, final courts inside the slyly bold accounts use bravely after the reg"
458,-38.42,Customer#000000458,BUILDING,14-651-706-4016,4,iIKwI3HrgNlD9,regular requests are. blithely even theodolites at the unusual foxes haggle bl
459,1207.97,Customer#000000459,MACHINERY,16-927-662-8584,6,CkGH34iK 9vAHXeY7 wAQIzJa1cmA8DAEA7m,"unusual, unusual deposits after the dogged packages"
460,5222.83,Customer#000000460,FURNITURE,21-643-955-6555,11,"Gbx5Hnw,ctlI7",slyly special pinto beans wake carefully furiously express packages. furiously special requests sle
461,9177.63,Customer#000000461,AUTOMOBILE,31-533-226-4307,21,5vxNLzSASzkbrUr8CRf5,"furiously idle requests haggle quickly. somas alongside of the express, final packages"
462,4522.60,Customer#000000462,HOUSEHOLD,31-157-561-4106,21,MSqsCvNEkowp7FnscRXP6OUWm,"furiously pending requests cajole quickly carefully bold asymptotes. bold, regul"
463,-654.50,Customer#000000463,HOUSEHOLD,18-167-214-5805,8,"LV7MN7Tkm2NSo4Q3lwvjxGQyRJjRZRf,M","blithely bold requests integrate fluffily. accounts wake even, dogged acc"
464,8730.85,Customer#000000464,AUTOMOBILE,19-269-971-9738,9,"kAALP9gEt3,G9XtxCXjv38HjKBEP","slyly regular packages boost enticingly ironic pinto beans! final, even accounts caj"
465,8432.74,Customer#000000465,FURNITURE,12-137-838-1346,2,gngnTNn7azjgQlQJnakTZto,pinto beans use slyly furiously ironic reques
466,3168.41,Customer#000000466,MACHINERY,22-280-738-3240,12,"ZI1c8,ZanegEu5CEQxNf5,bkuYPwn7H7JIK7","fluffily ironic deposits shall boost final, i"
467,9398.51,Customer#000000467,MACHINERY,21-449-581-5158,11,amwRkh0nDQ6r6MU,furiously final dependencies wake blithely about
468,9834.19,Customer#000000468,FURNITURE,20-489-960-5023,10,IcbihAtOVWcnswfyE,carefully special excuses wake. furiously ir
469,6343.64,Customer#000000469,BUILDING,22-406-988-6460,12,JWOULMa5Qtt,fluffily silent deposits against the
470,3597.53,Customer#000000470,HOUSEHOLD,30-507-458-4433,20,v9 gWSuP4WrOjNJRgyJtjbNCChQME,silent requests use furiously across the final platelets. final ideas doze carefully furiou
471,5716.90,Customer#000000471,FURNITURE,14-574-118-1005,4,tGr0DtrK 91IgzfeZrSPpPIia3,furiously bold accounts haggle. furiously silent ideas are above the slyly even ideas. special packages
472,7929.90,Customer#000000472,MACHINERY,22-940-478-1933,12,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,"fluffy, ironic instructions are quickly about the foxes. express dependencies are car"
473,-202.22,Customer#000000473,HOUSEHOLD,19-209-647-5704,9,zO3W9pYj PvlsQGe,blithely express instructions haggle blithely according to the ironic accounts. blithely f
474,9165.47,Customer#000000474,MACHINERY,31-247-536-6143,21,"mvEKw,6zT0V8Yb2yTG hu990UX",packages after the carefully ironic packages haggle blithely against the carefully even foxes. regular deposits ab
475,9043.55,Customer#000000475,BUILDING,24-485-422-9361,14,JJMbj6myLUzMlbUmg63hNtFv4pWL8nq,"regular, express requests above the ironic, final packages nod carefully among the ironic platelets. bold asym"
476,5973.10,Customer#000000476,BUILDING,12-996-628-9902,2,68r87HCBbQkVYaVfes8mgKs,regular requests after the furiously bold requests boost furiously among the busy frays. carefu
477,1836.61,Customer#000000477,AUTOMOBILE,33-845-877-6997,23,5aW5WHphNgFdIS1Qdp2cIJXG8ER8,unusual accounts nag blithely against the carefully ironic deposits. special packages wake furiously depos
478,-210.40,Customer#000000478,BUILDING,11-655-291-2694,1,"clyq458DIkXXt4qLyHlbe,n JueoniF",even notornis nag slyly ironic instructions. fluf
479,3653.64,Customer#000000479,AUTOMOBILE,28-336-406-1631,18,RdIiG8NbwYtamReRwhR,"regular, regular accounts use. ironic ideas integrate b"
480,2750.71,Customer#000000480,FURNITURE,17-231-147-5851,7,XyQSPswCeO WPD37K3 mYZ4hnCMJO5p,bold dependencies cajole slyly! quickly even theodolites impress fluffily across the bli
481,7157.21,Customer#000000481,FURNITURE,31-363-392-6461,21,"o4xa7J20NqHM8E0ykH,NKe1gPz04OqIn","final, bold accounts use quickly. carefully bold theod"
482,4333.37,Customer#000000482,HOUSEHOLD,23-732-448-1610,13,389RgNCsmVUKiRskmrQQm90xx JiIxOM0,"ironic pinto beans wake. fluffily even deposits wake final, pending requests. quickly regula"
483,8877.20,Customer#000000483,MACHINERY,21-799-189-1135,11,Yv1QV 1JsV 9sVbNufRvdnprt0grx52,"even, regular requests haggle ab"
484,4245.00,Customer#000000484,BUILDING,30-777-953-8902,20,ismzlUzrqRMRGWmCEUUjkBsi,fluffily unusual pinto beans integrate blithely. unusual deposit
485,8695.45,Customer#000000485,MACHINERY,29-434-961-1623,19,"XeFbvXCQ,J",carefully ironic dependencies hinder along the packages. quickly speci
486,7487.40,Customer#000000486,AUTOMOBILE,31-787-534-8723,21,2cXXa6MSx9CGU,carefully even deposits cajole quickly slyly
487,9749.37,Customer#000000487,AUTOMOBILE,12-111-401-4259,2,"oTc,l9dAf8O0qOOMP4P0WFTuGS",carefully final foxes about the fluffily unusual packages boost carefully bold req
488,-275.58,Customer#000000488,AUTOMOBILE,13-513-778-1881,3,bBcMjFPTysSTaTdHcoO,"regular attainments use bravely slyly unusual deposits. final, bold deposits affix slyly a"
489,8255.83,Customer#000000489,AUTOMOBILE,14-916-241-6195,4,GIdW4IVgeqWMBXnNFZGHS8kmhw,carefully pending deposits sha
490,-213.85,Customer#000000490,FURNITURE,32-268-147-7824,22,"66fG3Fyb946cVQsH9Z3VMNzR,yfHMKIEB",even foxes are furiously. carefully ironic accounts are permanen
491,785.37,Customer#000000491,AUTOMOBILE,10-856-259-7548,0,r3zPOuenxHl0oqInxWlEyLP1ZH,carefully regular pinto beans
492,8635.18,Customer#000000492,AUTOMOBILE,18-686-244-1077,8,"JexAgMLuUHoElYFaKx,hJcAP1b1GknYoYHQLyx",carefully bold instructions integrate blithely
493,6582.04,Customer#000000493,MACHINERY,26-514-558-7246,16,G dRBjxmBBug1 xRSa6VwRchFDtU5b,"even, even accounts nag carefully. busily final accounts wak"
494,6295.47,Customer#000000494,FURNITURE,20-330-453-6579,10,GKgTjHFlQrDZWcketSqhZCopBhmChknI,unusual packages wake. carefully final excuses wake blithely. courts integrate
495,7997.81,Customer#000000495,BUILDING,17-400-405-6060,7,QhFbEv6KbQIwfZs 1krt1eACKI31v3iyM,blithely final requests nag quickly carefully special deposits. daringly bold ideas sleep. platel
496,8174.82,Customer#000000496,MACHINERY,22-173-644-7922,12,Y8oYLlHme6Z4fEzkTu,"dependencies affix furiously alongside of the pending,"
